商品名,一级分类,二级分类,颜色,尺码,价格（元）,面料/版型,一句话,长度,数据性质,图片文件名,图片相对路径,商品ID,原始商品标题,来源商品链接,图片来源,采集图片地址,评测分组
V领短袖T恤,上装,T恤,黑色,M/L/XL,99,棉混纺，宽松版型,V领短袖T恤，棉混纺，宽松版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_1015901232400.jpg,T恤/SKU_1015901232400.jpg,1015901232400,NEVERNEED假两件V领短袖T恤男女...,https://item.taobao.com/item.htm?id=1015901232400,淘宝搜索页主图,https://img.alicdn.com/bao/uploaded/i3/3978958523/O1CN01QJmFf52Cpan1F3wpv_!!3978958523.jpg,基础
刺绣圆领短袖T恤,上装,T恤,白色,M/L/XL/2XL,89,冰丝棉，宽松版型,刺绣圆领短袖T恤，冰丝棉，宽松版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_913197977495.jpg,T恤/SKU_913197977495.jpg,913197977495,液氨棉刺绣冰丝短袖t恤男夏季2026新款...,https://item.taobao.com/item.htm?id=913197977495,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01sS3DZ71d8zKB0FQX9_!!2955883692.jpg,基础
撞色条纹长袖T恤,上装,T恤,黑白条纹,M/L/XL,79,纯棉，宽松版型,撞色条纹长袖T恤，纯棉，宽松版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_957462091234.jpg,T恤/SKU_957462091234.jpg,957462091234,江南先生NewJNXS高克重纯棉撞色条纹...,https://item.taobao.com/item.htm?id=957462091234,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01R3XBWP1nrY7WElT0P_!!4611686018427383543-0-item_pic.jpg,基础
薄款格纹衬衫,上装,衬衫,灰绿格纹,M/L/XL,253,棉混纺，落肩版型,薄款格纹衬衫，棉混纺，落肩版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_918934379919.jpg,衬衫/SKU_918934379919.jpg,918934379919,薄款格纹落肩袖衬衫男 韩国正品PARTI...,https://item.taobao.com/item.htm?id=918934379919,淘宝搜索页主图,http://img.alicdn.com/img/O1CN018F0T4G1sLYQkuoy4E_!!2706615750.jpg,基础
商务翻领Polo衫,上装,衬衫,藏青,M/L/XL/2XL,149,珠地棉，修身版型,商务翻领Polo衫，珠地棉，修身版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_940043169853.jpg,衬衫/SKU_940043169853.jpg,940043169853,罗蒙夏季新款polo衫短袖男士高端商务休...,https://item.taobao.com/item.htm?id=940043169853,淘宝搜索页主图,https://img.alicdn.com/bao/uploaded/i3/2216383164978/O1CN01mdWi9W1mdygBQ5s12_!!2216383164978.jpg,基础
拼色连帽开衫卫衣,上装,卫衣,灰黑拼色,M/L/XL,108,重磅毛圈，连帽宽松,拼色连帽开衫卫衣，重磅毛圈，连帽宽松,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_970116687676.jpg,卫衣/SKU_970116687676.jpg,970116687676,悟空有货潮牌美式重磅开衫连帽卫衣男女秋季...,https://item.taobao.com/item.htm?id=970116687676,淘宝搜索页主图,http://img.alicdn.com/img/i1/112044131/O1CN01aJmsk5XXmUF2vH2e_!!4611686018427381859-0-saturn_solar.jpg,基础
灰色连帽拉链卫衣,上装,卫衣,灰色,M/L/XL/2XL,189,重磅棉，宽松版型,灰色连帽拉链卫衣，重磅棉，宽松版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_959101558860.jpg,卫衣/SKU_959101558860.jpg,959101558860,丛林老虎重磅连帽拉链开衫灰色卫衣男女潮牌...,https://item.taobao.com/item.htm?id=959101558860,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01oV6TcD1aDA9nbG8Lr_!!157343295.jpg,基础
立领华夫格卫衣,上装,卫衣,青灰,M/L/XL,179,华夫格针织，立领版型,立领华夫格卫衣，华夫格针织，立领版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_980756926285.jpg,卫衣/SKU_980756926285.jpg,980756926285,吕小虎ACTUP 秋季新款立领卫衣男款青...,https://item.taobao.com/item.htm?id=980756926285,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01DK5jANQJLLE2vH2e_!!1129747141.jpg,基础
复古麂皮立领夹克,上装,夹克,棕色,M/L/XL,258,麂皮质感，短款廓形,复古麂皮立领夹克，麂皮质感，短款廓形,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_1016524133617.jpg,夹克/SKU_1016524133617.jpg,1016524133617,有术美式潮牌复古立领麂皮夹克男2026秋...,https://item.taobao.com/item.htm?id=1016524133617,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01kzcus51gnhRmOCvig_!!2217132414187.jpg,基础
美式硬挺夹克,上装,夹克,黑色,M/L/XL,279,挺括梭织，宽松版型,美式硬挺夹克，挺括梭织，宽松版型,,演示商品（标题/价格/主图来自淘宝搜索页，颜色/尺码/面料为规范化补齐）,SKU_968185415529.jpg,夹克/SKU_968185415529.jpg,968185415529,CHOR秋冬季美式复古感硬挺夹克外套男生...,https://item.taobao.com/item.htm?id=968185415529,淘宝搜索页主图,http://img.alicdn.com/img/O1CN01RH5m7E1I9LjvpKSMp_!!2219180070850.jpg,基础
